YEAR,CERT,NAMEFULL,ADDRESBR,BRNUM,UNINUMBR,STALPBR,ADDRESS,ASSET,BKCLASS,CALL,CHARTER,CHRTAGNN,CHRTAGNT,CITY,CLCODE,CNTRYNA,DENOVO,DEPDOM,DEPSUM,DOCKET,ESCROW,FDICDBS,FDICNAME,FED,FEDNAME,INSAGNT1,INSBRDD,INSBRTS,INSURED,OCCDIST,OCCNAME,REGAGNT,RSSDID,SPECDESC,SPECGRP,STALP,STCNTY,STNAME,UNIT,ZIP,BKMO,BRCENM,BRSERTYP,CBSA_DIV_NAMB,CITY2BR,CITYBR,CNTRYNAB,CNTYNAMB,CNTYNUMB,CONSOLD,CSABR,CSANAMBR,DEPSUMBR,DIVISIONB,METROBR,MICROBR,MSABR,MSANAMB,NAMEBR,NECNAMB,NECTABR,PLACENUM,SIMS_ACQUIRED_DATE,SIMS_DESCRIPTION,SIMS_ESTABLISHED_DATE,SIMS_LATITUDE,SIMS_LONGITUDE,SIMS_PROJECTION,STCNTYBR,STNAMEBR,STNUMBR,USA,ZIPBR,Income Indicator,Tract Income Category,Tract Race Category,Minority Percentage
2025,33457,Oak Valley Community Bank,1034 N Central Ave,17,563029,CA,125 N 3rd Ave,1920868,SM,CALL,STATE,State Agency,STATE,Oakdale,13,United States,false,1711617,0,15881,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FED,1864197,COMMERCIAL LENDING,4,CA,6099,California,false,95361,false,,11,,Tracy,Tracy,United States,San Joaquin,77,,488,"San Jose-San Francisco-Oakland, CA",89815,0,true,false,44700,"Stockton-Lodi, CA",Tracy Branch,,,,,"100.0",12/01/2014,37.7394169977584,-121.425667964586,EXACT,6077,California,6,true,95376,"4",upper income,majority-minorty,"79.45"
2025,33457,Oak Valley Community Bank,14890 Mono Way,2,357369,CA,125 N 3rd Ave,1920868,SM,CALL,STATE,State Agency,STATE,Oakdale,13,United States,false,1711617,0,15881,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FED,1864197,COMMERCIAL LENDING,4,CA,6099,California,false,95361,false,,11,,Sonora,Sonora,United States,Tuolumne,109,,0,,136693,0,false,true,0,,Sonora - East Branch,,,,,"100.0","05/28/1996",37.9776459829778,-120.317897033094,EXACT,6109,California,6,true,95370,"3",middle income,majority-white,"18.28"
2025,33457,Oak Valley Community Bank,85 Mono Way,20,580430,CA,125 N 3rd Ave,1920868,SM,CALL,STATE,State Agency,STATE,Oakdale,13,United States,false,1711617,0,15881,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FED,1864197,COMMERCIAL LENDING,4,CA,6099,California,false,95361,false,,11,,Sonora,Sonora,United States,Tuolumne,109,,0,,125315,0,false,true,0,,Sonora-Downtown Branch,,,,,"100.0",12/15/2015,37.9762669922673,-120.379346022559,EXACT,6109,California,6,true,95370,"3",middle income,majority-white,"25.03"
2025,33457,Oak Valley Community Bank,241 W Main St,21,602933,CA,125 N 3rd Ave,1920868,SM,CALL,STATE,State Agency,STATE,Oakdale,13,United States,false,1711617,0,15881,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FED,1864197,COMMERCIAL LENDING,4,CA,6099,California,false,95361,false,,11,,Turlock,Turlock,United States,Stanislaus,99,,488,"San Jose-San Francisco-Oakland, CA",85396,0,true,false,33700,"Modesto, CA",Turlock Branch,,,,,"100.0","04/09/2018",37.4933290143932,-120.849470962235,EXACT,6099,California,6,true,95380,"2",moderate income,majority-minorty,"69.59"
2025,33457,Oak Valley Community Bank,"455 Capitol Mall, Ste 115",22,604558,CA,125 N 3rd Ave,1920868,SM,CALL,STATE,State Agency,STATE,Oakdale,13,United States,false,1711617,0,15881,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FED,1864197,COMMERCIAL LENDING,4,CA,6099,California,false,95361,false,,11,,Sacramento,Sacramento,United States,Sacramento,67,,472,"Sacramento-Roseville, CA",13783,0,true,false,40900,"Sacramento-Roseville-Folsom, CA",Sacramento - Capitol Mall Branch,,,,,"100.0","09/04/2018",38.579217185536,-121.501790984302,EXACT,6067,California,6,true,95814,"1",low income,majority-minorty,"68.42"
2025,33457,Oak Valley Community Bank,"1478 Stone Point Dr, Ste 150",23,652889,CA,125 N 3rd Ave,1920868,SM,CALL,STATE,State Agency,STATE,Oakdale,13,United States,false,1711617,0,15881,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FED,1864197,COMMERCIAL LENDING,4,CA,6099,California,false,95361,false,,11,,Roseville,Roseville,United States,Placer,61,,472,"Sacramento-Roseville, CA",13966,0,true,false,40900,"Sacramento-Roseville-Folsom, CA",Roseville - Stone Point Branch,,,,,"100.0",12/12/2022,38.7544570065823,-121.249986962066,EXACT,6061,California,6,true,95661,"4",upper income,majority-white,"41.41"
2025,33457,Oak Valley Community Bank,1200 I St # 3,3,357370,CA,125 N 3rd Ave,1920868,SM,CALL,STATE,State Agency,STATE,Oakdale,13,United States,false,1711617,0,15881,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FED,1864197,COMMERCIAL LENDING,4,CA,6099,California,false,95361,false,,11,,Modesto,Modesto,United States,Stanislaus,99,,488,"San Jose-San Francisco-Oakland, CA",222673,0,true,false,33700,"Modesto, CA",12Th & I,,,,,"100.0","05/28/1997",37.6409520151284,-120.996722979935,Subaddress,6099,California,6,true,95354,"2",moderate income,majority-minorty,"57.73"
2025,33457,Oak Valley Community Bank,166 Main St,4,361828,CA,125 N 3rd Ave,1920868,SM,CALL,STATE,State Agency,STATE,Oakdale,13,United States,false,1711617,0,15881,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FED,1864197,COMMERCIAL LENDING,4,CA,6099,California,false,95361,false,,11,,Bridgeport,Bridgeport,United States,Mono,51,,0,,19049,0,false,false,0,,Bridgeport Branch,,,,,"100.0","09/29/2000",38.2562800162734,-119.226463017625,EXACT,6051,California,6,true,93517,"3",middle income,majority-white,"34.15"
2025,33457,Oak Valley Community Bank,307 Old Mammoth Rd,5,361829,CA,125 N 3rd Ave,1920868,SM,CALL,STATE,State Agency,STATE,Oakdale,13,United States,false,1711617,0,15881,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FED,1864197,COMMERCIAL LENDING,4,CA,6099,California,false,95361,false,,11,,Mammoth Lakes,Mammoth Lakes,United States,Mono,51,,0,,72587,0,false,false,0,,Mammoth Lakes Branch,,,,,"100.0","05/29/2001",37.6417329989568,-118.966068969558,EXACT,6051,California,6,true,93546,"4",upper income,majority-white,"37.29"
2025,33457,Oak Valley Community Bank,351 N Main St,6,365202,CA,125 N 3rd Ave,1920868,SM,CALL,STATE,State Agency,STATE,Oakdale,13,United States,false,1711617,0,15881,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FED,1864197,COMMERCIAL LENDING,4,CA,6099,California,false,95361,false,,11,,Bishop,Bishop,United States,Inyo,27,,0,,95959,0,false,true,0,,Bishop Branch,,,,,"100.0","05/29/2002",37.3633039870129,-118.395565961672,EXACT,6027,California,6,true,93514,"3",middle income,majority-minorty,"56.3"
2025,33457,Oak Valley Community Bank,"4120 Dale Rd, Ste B",7,419825,CA,125 N 3rd Ave,1920868,SM,CALL,STATE,State Agency,STATE,Oakdale,13,United States,false,1711617,0,15881,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FED,1864197,COMMERCIAL LENDING,4,CA,6099,California,false,95361,false,,11,,Modesto,Modesto,United States,Stanislaus,99,,488,"San Jose-San Francisco-Oakland, CA",107240,0,true,false,33700,"Modesto, CA",Modesto Dale Branch,,,,,"100.0","03/10/2003",37.6984680060756,-121.049380023521,EXACT,6099,California,6,true,95356,"4",upper income,majority-minorty,"59.66"
2025,33539,Preferred Bank,601 S Figueroa St,0,47419,CA,601 S Figueroa St,7279549,NM,CALL,STATE,State Agency,STATE,Los Angeles,21,,false,6083500,6083500,15689,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FDIC,1918344,COMMERCIAL LENDING,4,CA,6037,California,false,90017,true,M,11,"Los Angeles-Long Beach-Glendale, CA",Los Angeles,Los Angeles,United States,Los Angeles,37,,348,"Los Angeles-Long Beach, CA",2171599,31084,true,false,31080,"Los Angeles-Long Beach-Anaheim, CA",Preferred Bank,,,,,"100.0",12/23/1991,34.0507950047268,-118.25928996236,EXACT,6037,California,6,true,90017,"4",upper income,majority-minorty,"62.46"
2025,33539,Preferred Bank,325 E Valley Blvd,1,289726,CA,601 S Figueroa St,7279549,NM,CALL,STATE,State Agency,STATE,Los Angeles,21,,false,6083500,0,15689,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FDIC,1918344,COMMERCIAL LENDING,4,CA,6037,California,false,90017,false,,11,"Los Angeles-Long Beach-Glendale, CA",Alhambra,Alhambra,United States,Los Angeles,37,,348,"Los Angeles-Long Beach, CA",889440,31084,true,false,31080,"Los Angeles-Long Beach-Anaheim, CA",Alhambra Branch,,,,,"100.0",12/23/1991,34.0790900048237,-118.118939017001,EXACT,6037,California,6,true,91801,"2",moderate income,majority-minorty,"94.97"
2025,33539,Preferred Bank,"17515 Colima Rd, Ste A",11,438890,CA,601 S Figueroa St,7279549,NM,CALL,STATE,State Agency,STATE,Los Angeles,21,,false,6083500,0,15689,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FDIC,1918344,COMMERCIAL LENDING,4,CA,6037,California,false,90017,false,,11,"Los Angeles-Long Beach-Glendale, CA",Rowland Heights,City Of Industry,United States,Los Angeles,37,,348,"Los Angeles-Long Beach, CA",362680,31084,true,false,31080,"Los Angeles-Long Beach-Anaheim, CA",City Of Industry Office,,,,,"100.0","03/14/2005",33.9916219953409,-117.923614018561,EXACT,6037,California,6,true,91748,"2",moderate income,majority-minorty,"89.73"
2025,33539,Preferred Bank,7004 Rosemead Blvd,14,492911,CA,601 S Figueroa St,7279549,NM,CALL,STATE,State Agency,STATE,Los Angeles,21,,false,6083500,0,15689,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FDIC,1918344,COMMERCIAL LENDING,4,CA,6037,California,false,90017,false,,11,"Los Angeles-Long Beach-Glendale, CA",Pico Rivera,Pico Rivera,United States,Los Angeles,37,,348,"Los Angeles-Long Beach, CA",35122,31084,true,false,31080,"Los Angeles-Long Beach-Anaheim, CA",Pico Rivera Branch,,,,,"100.0",12/30/2008,33.9828650019983,-118.096985974394,EXACT,6037,California,6,true,90660,"3",middle income,majority-minorty,"95.96"
2025,33539,Preferred Bank,"600 California St, Ste 550",16,541170,CA,601 S Figueroa St,7279549,NM,CALL,STATE,State Agency,STATE,Los Angeles,21,,false,6083500,0,15689,,14,San Francisco,12,San Francisco,DIF,,,CB,,,FDIC,1918344,COMMERCIAL LENDING,4,CA,6037,California,false,90017,false,,11,"San Francisco-San Mateo-Redwood City, CA",San Francisco,San Francisco,United States,San Francisco,75,,488,"San Jose-San Francisco-Oakland, CA",180082,41884,true,false,41860,"San Francisco-Oakland-Fremont, CA",San Francisco - California Street Branch,,,,,"100.0","02/06/2013",37.7931229946171,-122.404868967088,EXACT,6075,California,6,true,94108,"1",low income,majority-minorty,"90.94"
